nctid,"search_query","facility",state,city,zip,latitude,longitude
NCT00981461,"Sadick Research Group, New York, New York 10075","Sadick Research Group",New York,New York,10075,,
NCT02924428,"Sadick Research Group, New York, New York 10075",Sadick Research Group,New York,New York,10075,,
NCT03284333,"Sadick Dermatology/Sadick Research Center, New York, New York 10075",Sadick Dermatology/Sadick Research Center,New York,New York,10075,,
NCT01950065,"Roseville Facial Plastic Surgery, Roseville, California 95661",Roseville Facial Plastic Surgery,California,Roseville,95661,,
NCT02452359,"Rosenberg Plastic Surgery, Beverly Hills, California 90211",Rosenberg Plastic Surgery,California,Beverly Hills,90211,,
NCT05750914,"Rochester Dermatologic Surgery, Victor, New York 14654",Rochester Dermatologic Surgery,New York,Victor,14654,,
NCT02772276,"Riverside Clinical Research, Edgewater, Florida 32132",Riverside Clinical Research,Florida,Edgewater,32132,,
NCT00375544,"Richard Neiman, M.D., Kirkland, Washington 98034","Richard Neiman, M.D.",Washington,Kirkland,98034,,
NCT05590585,"RFSA Dermatology, San Antonio, Texas 78213",RFSA Dermatology,Texas,San Antonio,78213,,
NCT02770287,"Revive Wellness Center, Torrance, California 90505",Revive Wellness Center,California,Torrance,90505,,
NCT05372419,"Revival Research Institute - Troy, Troy, Michigan 48084",Revival Research Institute - Troy,Michigan,Troy,48084,,
NCT05590585,"Revival Research Institute , LLC, Troy, Michigan 48084","Revival Research Institute , LLC",Michigan,Troy,48084,,
NCT06436261,"Resurrect Skin MD, Dallas, Texas 75225",Resurrect Skin MD,Texas,Dallas,75225,,
NCT03242577,"Reliance Clinical Testing Services, Irving, Texas 75062",Reliance Clinical Testing Services,Texas,Irving,75062,,
NCT03346447,"Reliance Clinical Testing Services, Irving, Texas 75062","Reliance Clinical Testing Services",Texas,Irving,75062,,
NCT02979210,"Reliance Clinical Testing Service, Irving, Texas 75062",Reliance Clinical Testing Service,Texas,Irving,75062,,
NCT02615912,"Reliance Clinical Testing Service, Irving, Texas 75062","Reliance Clinical Testing Service",Texas,Irving,75062,,
NCT06415435,"Refresh Dermatology, Houston, Texas 77081",Refresh Dermatology,Texas,Houston,77081,,
NCT04936919,"RefinedMD, Los Gatos, California 95032","RefinedMD",California,Los Gatos,95032,,
NCT03970317,"Refined Dermatology, Los Gatos, California 95032",Refined Dermatology,California,Los Gatos,95032,,
NCT03944278,"Refined Dermatology, Los Gatos, California 95032",Refined Dermatology,California,Los Gatos,95032,,
NCT03820076,"RCTS, Inc., Irving, Texas 75062","RCTS, Inc.",Texas,Irving,75062,,
NCT01437163,"Raymond J. Lanzafame, MD, Rochester, New York 14617","Raymond J. Lanzafame, MD",New York,Rochester,14617,,
NCT05590585,"Rao Dermatology, Atlantic Highlands, New Jersey 07716",Rao Dermatology,New Jersey,Atlantic Highlands,07716,,
NCT03590756,"Ragle Human Nutrition Research Center, Davis, California 95616",Ragle Human Nutrition Research Center,California,Davis,95616,,
NCT01347879,"Rady Children's Hospital, San Diego, California 92123","Rady Children's Hospital",California,San Diego,92123,,
NCT05372419,"PureSkin Dermatology, Orlando, Florida 32819",PureSkin Dermatology,Florida,Orlando,32819,,
NCT05372419,"Progressive Clinical Research, San Antonio, Texas 78213","Progressive Clinical Research",Texas,San Antonio,78213,,
NCT05254210,"Profiles Beverly Hills, West Hollywood, California 90069","Profiles Beverly Hills",California,West Hollywood,90069,,
NCT01347879,"Premier Clinical Research, Spokane, Washington 99216",Premier Clinical Research,Washington,Spokane,99216,,
NCT03818555,"Premier Clinical Research, Spokane, Washington 99202",Premier Clinical Research,Washington,Spokane,99202,,
NCT02748928,"Prana Medical Aesthetics, Jacksonville Beach, Florida 32250","Prana Medical Aesthetics",Florida,Jacksonville Beach,32250,,
NCT06473974,"Pioneer Clinical research, New York, New York 10016",Pioneer Clinical research,New York,New York,10016,,
NCT04269317,"Physicians Laser and Dermatology Institute, Chicago, Illinois 60611",Physicians Laser and Dermatology Institute,Illinois,Chicago,60611,,
NCT05590585,"Philip Fried, MD PLLC, The Bronx, New York 10463","Philip Fried, MD PLLC",New York,The Bronx,10463,,
NCT02260180,"Philadelphia Institute of Dermatology, Fort Washington, Pennsylvania 19034","Philadelphia Institute of Dermatology",Pennsylvania,Fort Washington,19034,,
NCT01437163,"Peter S. Halperin, MD, New York, New York 10065","Peter S. Halperin, MD",New York,New York,10065,,
NCT01347879,"Penn State Hershey Medical Center, Hershey, Pennsylvania 17033","Penn State Hershey Medical Center",Pennsylvania,Hershey,17033,,
NCT02217228,"Penn State Hershey Medical Center, Hershey, Pennsylvania 17033",Penn State Hershey Medical Center,Pennsylvania,Hershey,17033,,
NCT00922623,"Pearl E Grimes, Los Angeles, California 90036",Pearl E Grimes,California,Los Angeles,90036,,
NCT04738734,"Palm Harbor Dermatology, Clearwater, Florida 34685",Palm Harbor Dermatology,Florida,Clearwater,34685,,
NCT02772276,"Orlando Clinical Research Center, Orlando, Florida 32809",Orlando Clinical Research Center,Florida,Orlando,32809,,
NCT02260180,"Oregon Medical Research Center, Portland, Oregon 97223",Oregon Medical Research Center,Oregon,Portland,97223,,
NCT05590585,"Oregon Health & Science University, Portland, Oregon 97239",Oregon Health & Science University,Oregon,Portland,97239,,
NCT00594425,"Oregon Dermatology and Research Center, Portland, Oregon 97210",Oregon Dermatology and Research Center,Oregon,Portland,97210,,
NCT01026441,"Orange Coast Women's Medical Group, Laguna Hills, California 92653",Orange Coast Women's Medical Group,California,Laguna Hills,92653,,
NCT05321784,"OHSU Knight Cancer Institute, Portland, Oregon 97239",OHSU Knight Cancer Institute,Oregon,Portland,97239,,
NCT05235334,"Office of Jashin J. Wu, MD, Irvine, California 92620","Office of Jashin J. Wu, MD",California,Irvine,92620,,
NCT05372419,"Oakland Hills Dermatology, Auburn Hills, Michigan 48326",Oakland Hills Dermatology,Michigan,Auburn Hills,48326,,
NCT04738734,"Oak Dermatology, Joliet, Illinois 60435","Oak Dermatology",Illinois,Joliet,60435,,
NCT04248699,"o ObvioHealth, Orlando, Florida 32817",o ObvioHealth,Florida,Orlando,32817,,
NCT02067260,"NYU School of Medicine, New York, New York 10003",NYU School of Medicine,New York,New York,10003,,
NCT05590585,"NYC Health + Hospital , Elmhurst Hospital Center, Elmhurst, New York 11373","NYC Health + Hospital , Elmhurst Hospital Center",New York,Elmhurst,11373,,
NCT05773924,"NY Laser Skin Care, New York, New York 10028",NY Laser Skin Care,New York,New York,10028,,
NCT01745224,"NY Laser and Skin Care, New York, New York 10028",NY Laser and Skin Care,New York,New York,10028,,
NCT02110134,"NY Laser and Skin Care, New York, New York 10028","NY Laser and Skin Care",New York,New York,10028,,
NCT02528552,"NW Dermatology & Research Center, LLC, Portland, Oregon 97210","NW Dermatology & Research Center, LLC",Oregon,Portland,97210,,
NCT06749808,"Nu Skin, Provo, Utah 84601",Nu Skin,Utah,Provo,84601,,
NCT02431494,"NSU COM Division of Dermatology, General, Cosmetic Dermatology and Cutaneous Surgery, Fort Lauderdale, Florida 33328","NSU COM Division of Dermatology, General, Cosmetic Dermatology and Cutaneous Surgery",Florida,Fort Lauderdale,33328,,
NCT04558242,"NST Consultants, Inc., Mendham, New Jersey 07945","NST Consultants, Inc.",New Jersey,Mendham,07945,,
NCT01281644,"Northwestern University, Chicago, Illinois 60611",Northwestern University,Illinois,Chicago,60611,,
NCT01529983,"Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois 60611","Northwestern University Feinberg School of Medicine, Department of Dermatology",Illinois,Chicago,60611,,
NCT02427724,"Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois 60611","Northwestern University Feinberg School of Medicine, Department of Dermatology",Illinois,Chicago,60611,,
NCT03057964,"Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois 60611","Northwestern University Feinberg School of Medicine, Department of Dermatology",Illinois,Chicago,60611,,
NCT00894244,"Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois 60611","Northwestern University Feinberg School of Medicine, Department of Dermatology",Illinois,Chicago,60611,,
NCT02318654,"Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois 60611","Northwestern University Feinberg School of Medicine, Department of Dermatology",Illinois,Chicago,60611,,
NCT03066843,"Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois 60611","Northwestern University Feinberg School of Medicine, Department of Dermatology",Illinois,Chicago,60611,,
NCT01905891,"Northwestern Memorial Hospital, Chicago, Illinois 60611",Northwestern Memorial Hospital,Illinois,Chicago,60611,,
NCT05590585,"Northwestern Memorial Hospital, Chicago, Illinois 60611",Northwestern Memorial Hospital,Illinois,Chicago,60611,,
NCT01347879,"North Florida Dermatology Associates, Jacksonville, Florida 32204",North Florida Dermatology Associates,Florida,Jacksonville,32204,,
NCT02663921,"New York University School of Medicine, New York, New York 10016",New York University School of Medicine,New York,New York,10016,,
NCT01335581,"New York Laser and Skin Care, New York, New York 10028",New York Laser and Skin Care,New York,New York,10028,,
NCT02146807,"New York Laser and Skin Care, New York, New York 10028",New York Laser and Skin Care,New York,New York,10028,,
NCT01796626,"New York Laser & Skin Care, New York, New York 10028",New York Laser & Skin Care,New York,New York,10028,,
NCT04146584,"New York Laser & Skin Care, New York, New York 10028",New York Laser & Skin Care,New York,New York,10028,,
NCT02592993,"New York Laser & Skin Care, New York, New York 10028",New York Laser & Skin Care,New York,New York,10028,,
NCT06938815,"New York Harbor VA Brooklyn Campus, Brooklyn, New York 11209","New York Harbor VA Brooklyn Campus",New York,Brooklyn,11209,,
NCT05662592,"New Jersey Plastic Surgery, Montclair, New Jersey 07042",New Jersey Plastic Surgery,New Jersey,Montclair,07042,,
NCT03969485,"New Jersey Clinical Research Center, Montclair, New Jersey 07042",New Jersey Clinical Research Center,New Jersey,Montclair,07042,,
NCT00402129,"Naval Medical Center San Diego, San Diego, California 92134",Naval Medical Center San Diego,California,San Diego,92134,,
NCT01771679,"Naval Medical Center San Diego, San Diego, California 92134",Naval Medical Center San Diego,California,San Diego,92134,,
NCT02778152,"Nationwide Children's Hospital, Columbus, Ohio 43205",Nationwide Children's Hospital,Ohio,Columbus,43205,,
NCT03276065,"Nationwide Children's Hospital, Columbus, Ohio 43205",Nationwide Children's Hospital,Ohio,Columbus,43205,,
NCT05590585,"National Allergy and Asthma Research, LLC., North Charleston, South Carolina 29420","National Allergy and Asthma Research, LLC.",South Carolina,North Charleston,29420,,
NCT02297321,"Nashville Centre for Laser and Facial Surgery, Nashville, Tennessee 37203",Nashville Centre for Laser and Facial Surgery,Tennessee,Nashville,37203,,
NCT01950065,"Nashville Center for Laser and Facial Surgery, Nashville, Tennessee 37203",Nashville Center for Laser and Facial Surgery,Tennessee,Nashville,37203,,
NCT03228641,"Nashville Center for Laser & Facial Surgery, Nashville, Tennessee 37203",Nashville Center for Laser & Facial Surgery,Tennessee,Nashville,37203,,
NCT05767008,"Nanometics, La Jolla, California 92037",Nanometics,California,La Jolla,92037,,
NCT06477172,"N2 Aesthetics, Manhattan Beach, California 90266",N2 Aesthetics,California,Manhattan Beach,90266,,
NCT06477172,"N2 Aesthetics, Manhattan Beach, California 90266","N2 Aesthetics",California,Manhattan Beach,90266,,
NCT03945383,"My Community Research Center, Miami, Florida 33155",My Community Research Center,Florida,Miami,33155,,
NCT04738734,"Moy-Fincher-Chipps Dermatology, Beverly Hills, California 90210","Moy-Fincher-Chipps Dermatology",California,Beverly Hills,90210,,
NCT03506477,"Mount Sinai West, New York, New York 10023","Mount Sinai West",New York,New York,10023,,
NCT03681470,"Mount Sinai West, New York, New York 10023",Mount Sinai West,New York,New York,10023,,
NCT04571567,"Mount Sinai West Dermatolgy, New York, New York 10023",Mount Sinai West Dermatolgy,New York,New York,10023,,
NCT00941278,"Mount Sinai School of Medicine, New York, New York 10029",Mount Sinai School of Medicine,New York,New York,10029,,
NCT00555646,"Mount Sinai School of Medicine, New York, New York 10029",Mount Sinai School of Medicine,New York,New York,10029,,
NCT01247818,"Mount Sinai School of Medicine, New York, New York 10029",Mount Sinai School of Medicine,New York,New York,10029,,
NCT03409965,"Moradi M.D., Vista, California 92083","Moradi M.D.",California,Vista,92083,,
NCT04540900,"Mission Dermatology, Rancho Santa Margarita, California 92688",Mission Dermatology,California,Rancho Santa Margarita,92688,,
NCT06477172,"Mirror Plastic Surgery, St. Petersburg, Florida 33701",Mirror Plastic Surgery,Florida,St. Petersburg,33701,,
NCT00933543,"Minnesota Clinical Study Center, Fridley, Minnesota 55432",Minnesota Clinical Study Center,Minnesota,Fridley,55432,,
NCT00933543,"Milton S. Hershey Medical Center, Hershey, Pennsylvania 17033",Milton S. Hershey Medical Center,Pennsylvania,Hershey,17033,,
NCT04957446,"Michelle Malanga, New York, New York 10075",Michelle Malanga,New York,New York,10075,,
NCT04185909,"Michael Lin, MD, Sherman Oaks, California 91403","Michael Lin, MD",California,Sherman Oaks,91403,,
NCT00947505,"Michael Jarratt, MD, Austin, Texas 78759","Michael Jarratt, MD",Texas,Austin,78759,,
NCT03286283,"Miami Plastic Surgery, Miami, Florida 33176",Miami Plastic Surgery,Florida,Miami,33176,,
NCT05372419,"Miami Dermatology and Laser Research, Miami, Florida 33173",Miami Dermatology and Laser Research,Florida,Miami,33173,,
NCT04202419,"Miami Dermatology and Laser Institute, Miami, Florida 33173",Miami Dermatology and Laser Institute,Florida,Miami,33173,,
NCT05171894,"Miami Dermatology and Laser Institute, Miami, Florida 33173",Miami Dermatology and Laser Institute,Florida,Miami,33173,,
NCT03573271,"Miami Dermatology and Laser Institute, Miami, Florida 33173",Miami Dermatology and Laser Institute,Florida,Miami,33173,,
NCT03583918,"Miami Dermatology and Laser Institute, Miami, Florida 33173","Miami Dermatology and Laser Institute",Florida,Miami,33173,,
NCT03793348,"Miami Dermatology & Laser Institute, Miami, Florida 33173","Miami Dermatology & Laser Institute",Florida,Miami,33173,,
NCT03818555,"Miami Dermatology & Laser Institute, Miami, Florida 33173",Miami Dermatology & Laser Institute,Florida,Miami,33173,,
NCT02268474,"Miami Dermatology & Laser Institute, Miami, Florida 33173",Miami Dermatology & Laser Institute,Florida,Miami,33173,,
NCT03782038,"Miami Dermatology & Laser Institute, Miami, Florida 33173",Miami Dermatology & Laser Institute,Florida,Miami,33173,,
NCT02217228,"Miami Dermatology & Laser Institute, Miami, Florida 33173","Miami Dermatology & Laser Institute",Florida,Miami,33173,,
NCT05411484,"MGH Clinical Unit for Research Trials And Outcome, Boston, Massachusetts 02114",MGH Clinical Unit for Research Trials And Outcome,Massachusetts,Boston,02114,,
NCT04839692,"MGH Clinical Unit for Research Trials & Outcomes Research, Boston, Massachusetts 02114",MGH Clinical Unit for Research Trials & Outcomes Research,Massachusetts,Boston,02114,,
NCT04567537,"MGH Clinical Unit for Research Trials & Outcomes in Skin, Boston, Massachusetts 02114",MGH Clinical Unit for Research Trials & Outcomes in Skin,Massachusetts,Boston,02114,,
NCT04466527,"MGH Clinical Unit for Research Trials & Outcomes in Skin, Boston, Massachusetts 02114",MGH Clinical Unit for Research Trials & Outcomes in Skin,Massachusetts,Boston,02114,,
NCT05329493,"MGH Clinical Unit for Research Trials & Outcomes in Skin, Boston, Massachusetts 02114",MGH Clinical Unit for Research Trials & Outcomes in Skin,Massachusetts,Boston,02114,,
NCT03415685,"Metro Dermatology, Elmhurst, New York 11373",Metro Dermatology,New York,Elmhurst,11373,,
NCT02029716,"Medpace Clinical Pharmacology Unit, Cincinnati, Ohio 45212",Medpace Clinical Pharmacology Unit,Ohio,Cincinnati,45212,,
NCT05328388,"Media Lab Science, Los Angeles, California 91604",Media Lab Science,California,Los Angeles,91604,,
NCT02528552,"MedaPhase, Inc., Newnan, Georgia 30263","MedaPhase, Inc.",Georgia,Newnan,30263,,
NCT05097157,"McDaniel Institute of Anti-Aging Research, Virginia Beach, Virginia 23462","McDaniel Institute of Anti-Aging Research",Virginia,Virginia Beach,23462,,
NCT01787461,"McDaniel Institute of Anti-Aging Research, Virginia Beach, Virginia 23462",McDaniel Institute of Anti-Aging Research,Virginia,Virginia Beach,23462,,
NCT03594721,"McDaniel Institute of Anti Aging Research, Virginia Beach, Virginia 23462",McDaniel Institute of Anti Aging Research,Virginia,Virginia Beach,23462,,
NCT04829227,"McDaniel Institute of Aging Research, Virginia Beach, Virginia 23462",McDaniel Institute of Aging Research,Virginia,Virginia Beach,23462,,
NCT04523961,"Mayo Clinic in Arizona, Scottsdale, Arizona 85259",Mayo Clinic in Arizona,Arizona,Scottsdale,85259,,
NCT04103164,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT02458976,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT03380845,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT01686841,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT01662713,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT03311191,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT03901417,"Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,Massachusetts,Boston,02114,,
NCT03775031,"Massachusetts General Hospital Clinical Unit for Research Trials and Outcomes in Skin, Boston, Massachusetts 02114",Massachusetts General Hospital Clinical Unit for Research Trials and Outcomes in Skin,Massachusetts,Boston,02114,,
NCT04178161,"Massachusetts General Hospital - Wellman Center for Photomedicine, Boston, Massachusetts 02114",Massachusetts General Hospital - Wellman Center for Photomedicine,Massachusetts,Boston,02114,,
NCT03115944,"Maryland Plastic Surgery, Glen Burnie, Maryland 21061",Maryland Plastic Surgery,Maryland,Glen Burnie,21061,,
NCT02465775,"Maryland Laser, Skin, & Vein Institute, LLC, Hunt Valley, Maryland 21030","Maryland Laser, Skin, & Vein Institute, LLC",Maryland,Hunt Valley,21030,,
NCT02488083,"Maryland Laser, Skin, & Vein Institute, Baltimore, Maryland 21030","Maryland Laser, Skin, & Vein Institute",Maryland,Baltimore,21030,,
NCT02217228,"Maryland Laser, Skin & Vein Institute, Hunt Valley, Maryland 21030","Maryland Laser, Skin & Vein Institute",Maryland,Hunt Valley,21030,,
NCT05171894,"Maryland Dermatology, Laser, Skin & Vein Institute, Hunt Valley, Maryland 21030","Maryland Dermatology, Laser, Skin & Vein Institute",Maryland,Hunt Valley,21030,,
NCT05097157,"Maryland Dermatology Laser, Skin, & Vein Institute, LLC., Hunt Valley, Maryland 21030","Maryland Dermatology Laser, Skin, & Vein Institute, LLC.",Maryland,Hunt Valley,21030,,
NCT03361176,"Maryland Dermatology Laser, Skin and Vein Institute, Hunt Valley, Maryland 21030","Maryland Dermatology Laser, Skin and Vein Institute",Maryland,Hunt Valley,21030,,
NCT03409952,"Maryland Dermatology Laser, Skin & Vein Institute, Hunt Valley, Maryland 21030","Maryland Dermatology Laser, Skin & Vein Institute",Maryland,Hunt Valley,21030,,
NCT02793739,"Marmur Medical, New York, New York 10128","Marmur Medical",New York,New York,10128,,
NCT05590585,"Markowitz Medical, New York, New York 10128",Markowitz Medical,New York,New York,10128,,
NCT06477172,"Marina Plastic Surgery, Marina del Rey, California 90292",Marina Plastic Surgery,California,Marina del Rey,90292,,
NCT04510727,"Maria V Muniz, Miami, Florida 33125",Maria V Muniz,Florida,Miami,33125,,
NCT06477172,"Marcus Medical, Redondo Beach, California 90277",Marcus Medical,California,Redondo Beach,90277,,
NCT06999408,"Marc Avram MD, New York, New York 10021",Marc Avram MD,New York,New York,10021,,
NCT05487547,"Manhattan Face and Eye clinic, New York, New York 10019","Manhattan Face and Eye clinic",New York,New York,10019,,
NCT02700932,"Main Line Center for Laser Surgery, Ardmore, Pennsylvania 19003",Main Line Center for Laser Surgery,Pennsylvania,Ardmore,19003,,
NCT02146807,"Main Line Center for Laser Surgery, Ardmore, Pennsylvania 19003",Main Line Center for Laser Surgery,Pennsylvania,Ardmore,19003,,
NCT01362192,"Main Line Center for Laser Surgery, Ardmore, Pennsylvania 19003","Main Line Center for Laser Surgery",Pennsylvania,Ardmore,19003,,
NCT00933543,"Madison Skin & Research, Inc, Madison, Wisconsin 53719","Madison Skin & Research, Inc",Wisconsin,Madison,53719,,
NCT03078647,"Macrene Alexiades, New York, New York 10028",Macrene Alexiades,New York,New York,10028,,
NCT06477172,"Luxurgery, New York, New York 10021",Luxurgery,New York,New York,10021,,
NCT03224715,"Loyola Dermatology, La Grange Park, Illinois 60526",Loyola Dermatology,Illinois,La Grange Park,60526,,
NCT06351358,"Lorenc Aesthetic Plastic Surgery Center, New York, New York 10028","Lorenc Aesthetic Plastic Surgery Center",New York,New York,10028,,
NCT00702507,"Lewis Purnell, MD, San Antonio, Texas 78229","Lewis Purnell, MD",Texas,San Antonio,78229,,
NCT06477172,"Lewis Dermatology and Associates, New York, New York 10021",Lewis Dermatology and Associates,New York,New York,10021,,
NCT04910945,"Le's Aesthetics, San Jose, California 95112","Le's Aesthetics",California,San Jose,95112,,
NCT00702507,"Lawrence Schachner, MD, Miami, Florida 33136","Lawrence Schachner, MD",Florida,Miami,33136,,
NCT02748928,"Laser Skin Surgery Center of Northern California, Sacramento, California 95816",Laser Skin Surgery Center of Northern California,California,Sacramento,95816,,
NCT02912507,"Laser Skin Solutions Jacksonville, Jacksonville Beach, Florida 32250",Laser Skin Solutions Jacksonville,Florida,Jacksonville Beach,32250,,
NCT03793348,"Laser and Skin Surgery of New York, New York, New York 10016",Laser and Skin Surgery of New York,New York,New York,10016,,
NCT02711618,"Laser and Skin Surgery Center, New York, New York 10016",Laser and Skin Surgery Center,New York,New York,10016,,
NCT03793348,"Laser and Skin Surgery Center of Northern California, Sacramento, California 95816",Laser and Skin Surgery Center of Northern California,California,Sacramento,95816,,
NCT03573271,"Laser and Skin Surgery Center of Northern California, Sacramento, California 95816",Laser and Skin Surgery Center of Northern California,California,Sacramento,95816,,
NCT03583918,"Laser and Skin Surgery Center of Northern California, Sacramento, California 95816","Laser and Skin Surgery Center of Northern California",California,Sacramento,95816,,
NCT04695691,"Laser and Skin Surgery Center of Northern CA, Sacramento, California 95816",Laser and Skin Surgery Center of Northern CA,California,Sacramento,95816,,
NCT03415685,"Laser and Skin Surgery Center of New York, New York, New York 10016",Laser and Skin Surgery Center of New York,New York,New York,10016,,
NCT03573271,"Laser and Skin Surgery Center of New York, New York, New York 10016",Laser and Skin Surgery Center of New York,New York,New York,10016,,
NCT03583918,"Laser and Skin Surgery Center of New York, New York, New York 10016",Laser and Skin Surgery Center of New York,New York,New York,10016,,
NCT03456674,"Laser and Skin Surgery Center of New York, New York, New York 10016",Laser and Skin Surgery Center of New York,New York,New York,10016,,
NCT02468453,"Laser and Skin Surgery Center of New York, New York, New York 10016",Laser and Skin Surgery Center of New York,New York,New York,10016,,
NCT03534609,"Laser and Skin Surgery Center of New York, New York, New York 10016",Laser and Skin Surgery Center of New York,New York,New York,10016,,
NCT02003833,"Laser and Skin Surgery Center of Indiana, Carmel, Indiana 46032",Laser and Skin Surgery Center of Indiana,Indiana,Carmel,46032,,
NCT02146820,"Laser and Cosmetic Dermatology, San Francisco, California 94115",Laser and Cosmetic Dermatology,California,San Francisco,94115,,
NCT02999763,"Laser & Skin Surgery Medical Group, Inc, Sacramento, California 95816","Laser & Skin Surgery Medical Group, Inc",California,Sacramento,95816,,
NCT01950065,"Laser & Skin Surgery Center of NY, New York, New York 10016",Laser & Skin Surgery Center of NY,New York,New York,10016,,
NCT03228641,"Laser & Skin Surgery Center of NY, New York, New York 10016","Laser & Skin Surgery Center of NY",New York,New York,10016,,
NCT04146584,"Laser & Skin Surgery Center of Northern California, Sacramento, California 95816",Laser & Skin Surgery Center of Northern California,California,Sacramento,95816,,
NCT02217228,"Laser & Skin Surgery Center of Northern California, Sacramento, California 95816",Laser & Skin Surgery Center of Northern California,California,Sacramento,95816,,
NCT04146584,"Laser & Skin Surgery Center of New York®, New York, New York 10016",Laser & Skin Surgery Center of New York®,New York,New York,10016,,
NCT03631368,"Laser & Skin Surgery Center of New York, New York, New York 10016",Laser & Skin Surgery Center of New York,New York,New York,10016,,
NCT01813786,"Laser & Skin Surgery Center of New York, New York, New York 10016",Laser & Skin Surgery Center of New York,New York,New York,10016,,
NCT01745627,"Laser & Skin Surgery Center of New York, New York, New York 10016","Laser & Skin Surgery Center of New York",New York,New York,10016,,
NCT02898350,"Laser & Skin Surgery Center of New York, New York, New York 10016",Laser & Skin Surgery Center of New York,New York,New York,10016,,
NCT02999763,"Laser & Skin Surgery Center of New York, New York, New York 10016","Laser & Skin Surgery Center of New York",New York,New York,10016,,
NCT03228641,"Laser & Skin Center of Northern CA, Sacramento, California 95816",Laser & Skin Center of Northern CA,California,Sacramento,95816,,
NCT04695691,"Kwan Dermatology, San Francisco, California 94108",Kwan Dermatology,California,San Francisco,94108,,
NCT02032771,"Knight Dermatology Institute, Orlando, Florida 32801",Knight Dermatology Institute,Florida,Orlando,32801,,
NCT02180282,"Knight Dermatology Institute, Orlando, Florida 32801",Knight Dermatology Institute,Florida,Orlando,32801,,
NCT05514782,"KGL Skin Study Center, West Chester, Pennsylvania 19073","KGL Skin Study Center",Pennsylvania,West Chester,19073,,
NCT04882631,"KGL Skin Study Center, Newtown Square, Pennsylvania 19073",KGL Skin Study Center,Pennsylvania,Newtown Square,19073,,
NCT06852742,"KGL Skin Study Center, LLC, West Chester, Pennsylvania 19073","KGL Skin Study Center, LLC",Pennsylvania,West Chester,19073,,
NCT05589038,"KGL Skin Study Center, LLC, Newtown Square, Pennsylvania 19073","KGL Skin Study Center, LLC",Pennsylvania,Newtown Square,19073,,
NCT01113606,"Kentucky Aesthetic and Plastic Surgery Institute, Louisville, Kentucky 40202",Kentucky Aesthetic and Plastic Surgery Institute,Kentucky,Louisville,40202,,
NCT01026441,"Kavali Plastic Surgery and Skin Renewal Center, Atlanta, Georgia 30342",Kavali Plastic Surgery and Skin Renewal Center,Georgia,Atlanta,30342,,
NCT03639883,"Kaufman and Davis Plastic Surgery, Folsom, California 95630",Kaufman and Davis Plastic Surgery,California,Folsom,95630,,
NCT07095114,"Karmanos Cancer Institute, Detroit, Michigan 48201","Karmanos Cancer Institute",Michigan,Detroit,48201,,
NCT06604832,"K. Kay Durairaj, MD, A Medical Corp., Pasadena, California 91105","K. Kay Durairaj, MD, A Medical Corp.",California,Pasadena,91105,,
NCT05089851,"Juvly Aesthetics, Columbus, Ohio 43215",Juvly Aesthetics,Ohio,Columbus,43215,,
NCT04738734,"Juva Skin & Laser Center, New York, New York 10022",Juva Skin & Laser Center,New York,New York,10022,,
NCT00981461,"Jose Mendez, DO, Miami, Florida 33144","Jose Mendez, DO",Florida,Miami,33144,,
NCT07078461,"Johns Hopkins University, Baltimore, Maryland 21287",Johns Hopkins University,Maryland,Baltimore,21287,,
NCT02748928,"Jewell Plastic Surgery, Eugene, Oregon 97401",Jewell Plastic Surgery,Oregon,Eugene,97401,,
NCT02600104,"Jerome M. Garden, Chicago, Illinois 60611","Jerome M. Garden",Illinois,Chicago,60611,,
NCT01437163,"Jeffrey A. Sklar, MD, Woodbury, New York 11797","Jeffrey A. Sklar, MD",New York,Woodbury,11797,,
NCT00922623,"Jeanine B Downie, Montclair, New Jersey 07042",Jeanine B Downie,New Jersey,Montclair,07042,,
NCT00981461,"Janet Hickman, MD, Lynchburg, Virginia 24501","Janet Hickman, MD",Virginia,Lynchburg,24501,,
NCT02217228,"James Q Del Rosso, DO, LLC, Las Vegas, Nevada 89144","James Q Del Rosso, DO, LLC",Nevada,Las Vegas,89144,,
